symbol,community
LONRF3,101
LUC7L2,1
LUZP4,1
MFSD3,101
MGC34796,101
MUL1,9
PI4KAP2,101
PYROXD2,101
RASSF5,339
RNF128,9
RNF34,180
SELV,101
SLC25A23,101
SNX5,97
ST8SIA5,101
SYT11,101
TBL3,1
TCEB1,1
TCEB2,1
UBE2R2,9
UGGT2,101
WDR24,211
WNT5B,101
ZC3H10,130
ZCCHC12,101
ZNF747,193
AR,5
BATF3,48
BRWD1,1
CMTM4,169
DCC,1
DOK3,2
DOK7,2
DPYSL5,2
FSHR,4
HDAC1,11
HDAC2,11
ID1,27
INO80E,23
KIAA1468,374
KLF15,2
KXD1,202
MAGEC3,2
MTA2,11
PIK3CA,2
RHEBL1,49
RTCB,1
SCAPER,199
SH2D2A,2
SOCS6,1
TGFBR1,12
TRAF6,13
TTC4,1
ZNF829,2
ZNF830,1
ATF3,12
C17orf82,194
CRLF3,79
KMT2C,89
LDHAL6B,194
LECT1,194
LGALS9C,4
LIX1,194
MAPRE3,194
MLST8,25
PINK1,194
RAB22A,257
RAI2,194
RBP7,194
SUV39H2,21
TSC1,18
AREL1,4
DIABLO,13
Htra2,4
HTRA2,28
PIAS4,195
SEPT4,13
UBE2D3,9
AGAP1,15
AHSA1,1
ARF3,62
ARFGAP1,1
ARFGAP2,64
ARFGAP3,1
ARFIP2,97
ASAP1,2
CHRM3,256
COPB1,1
COPE,1
EIF2B1,1
GALE,434
GEA1,62
GGA3,62
GLRX5,8
KDELR1,10
LDHA,1
LDHAL6A,87
LDHB,1
LDHC,1
nef,2
NOA1,62
PAICS,1
PLD1,43
PXN,2
RAB11B,114
RAB1A,1
RAB2A,1
RAB6A,462
RAB6B,417
SAR1A,1
TMEM106A,69
USP39,1
WBP11,402
GGA2,62
FBL,1
RSP5,9
Itch,84
NUP88,1
PNPLA2,230
ARHGAP12,45
BPIFB1,45
DMBT1,45
IGHA1,45
MUC5B,45
ARHGAP19,242
DCAF16,36
FHIT,242
RNF41,9
TDRKH,242
ARHGAP35,411
CDC42,43
KRT31,35
RAC1,258
RASA1,2
TCERG1,1
ARHGAP5,411
RND1,411
RND2,411
RND3,411
ARHGEF12,249
ARHGEF40,249
GIPC2,207
GNA13,30
PLXNB1,249
PLXNB2,249
SATB2,117
SH3BP4,15
VAPA,8
ARHGEF18,6
KLC2,1
RPP25L,29
CHEK1,1
CUL1,1
PBRM1,23
PHF10,23
RARA,5
RARB,5
RARG,5
SMARCD1,23
SMARCD2,23
SMARCD3,23
TOP1,1
ARID2,23
RRM2,1
ARID3A,22
ARID3B,22
ARID3C,22
BTK,2
E2F2,22
E2F4,54
HERC2,1
NISCH,22
NOTCH2NL,42
PCGF3,22
PML,39
RL2,2
TTC32,85
UBE2E3,9
ARID4B,11
CUL4B,1
DDB1,1
SAP130,11
SAP30,11
SUDS3,11
ACAD11,297
ACADVL,377
ATF1,178
ATF7,48
ATP6AP1,55
BTBD1,36
BTBD10,58
BTBD2,36
BTBD9,231
C11orf31,58
CAMKV,37
CARD10,226
CCNE1,18
CFL2,3
CRAMP1L,58
CREB5,48
CRY1,1
CUL4A,1
DACH1,12
DDX1,1
DDX47,1
DR1,24
ECT2,1
EHHADH,137
EIF4E2,15
FAM83D,360
FARSB,1
FBXL15,12
FBXL17,58
FBXO18,142
FBXO21,337
FBXO22,153
FBXO3,1
FBXO33,401
FBXO6,1
FBXO7,1
FBXW11,1
FBXW2,330
FEM1C,58
FOXK1,11
HBS1L,220
HOXA10,190
HOXB9,330
HOXC9,244
HUS1,147
ILF2,1
IPP,58
IQGAP1,3
ISL1,58
ISL2,58
JUND,48
KATNA1,60
KBTBD6,137
KCTD10,1
KCTD13,231
KCTD3,15
KCTD9,441
KDM1A,20
KLHDC10,58
KLHDC2,1
KLHDC3,1
KLHL12,52
KLHL13,58
KLHL15,272
KLHL2,68
KLHL22,58
KLHL7,179
KLHL9,58
METTL8,112
MICU2,161
MLLT4,15
MTFMT,531
NEDD8,1
NIPSNAP1,1
NMT1,1
NSUN4,83
PDCD2L,195
PDE12,1
PIP5K1A,475
PLCD3,37
POLE,1
PRPH,1
PSMF1,52
PUS7L,293
RBM26,252
RBM42,1
RCBTB1,478
RNF138,35
RPL10,1
SETD7,24
SIM2,58
SPOP,1
SRBD1,508
SSBP3,482
TEFM,58
TFAM,1
THYN1,58
TIMELESS,307
TIPIN,156
TXLNA,6
UBE2E2,9
UHRF1,402
UPF3B,1
XPO5,1
ZER1,157
ZNF574,1
ZNF687,11
ZNF852,58
ZSWIM6,58
ARL1,1
GCC2,277
GOLGA1,462
GOLGA4,1
ARL14EP,365
PLEKHF2,248
ARL2BP,502
ARL3,502
C6orf203,522
CDC16,47
CDC23,47
CENPM,262
CENPW,213
CEP152,6
CEP295,6
CEP63,6
CTNNBL1,1
CYCS,410
NFYC,24
NUP43,1
PAFAH1B1,60
PDCD7,1
PDE6D,43
POLN,1
PPCS,197
PPIE,1
PPP2CB,19
PPP2R2C,1
PPP2R5D,19
PSMD4,10
PTTG1,1
SGOL1,21
SKA3,1
UBA3,1
USE1,352
WDR61,1
WDR70,1
ZMAT5,1
CAMK2D,378
CFAP20,1
MPP3,502
Slc25a4,502
ARL4A,421
CCDC57,421
ELMO1,421
SPATC1L,421
ARL4C,401
ARL10,401
DIRAS1,401
DNAJC12,401
GAB1,2
NKIRAS1,401
OAF,401
POLE4,401
RAD51B,76
RAD51D,76
RAP1GDS1,174
RGS12,401
TERF2,1
TERF2IP,1
XRCC2,76
ARL5A,21
CBX1,21
CBX3,21
CBX5,21
ARL6IP1,175
ACSF2,175
C12orf10,175
FAM134C,95
FBXW7,59
GOLPH3,175
GOLPH3L,175
GORASP2,126
MTERF3,38
NAPB,32
NDRG4,175
PAM16,161
RTN4,95
SENP2,39
SNX1,97
SNX10,427
SNX11,395
SNX15,325
SPG21,97
WIPI2,125
ZFYVE21,175
ZNF391,175
ARL6IP5,4
RNF185,9
XRCC1,1
ARL8B,419
BTN3A3,506
ARMC8,28
AFG3L2,8
ATP1B3,8
ATP5F1,8
BCAP31,1
BSG,94
C1QBP,8
CDK1,1
CKB,7
DAP3,1
DDX50,1
DEK,1
DHCR24,95
EPPK1,66
GID4,28
GID8,28
GRAMD1A,163
GYS1,3
HBP1,1
HIST2H2AB,1
ICMT,465
KPNA4,1
KPNA6,1
KRT18,121
KRT80,57
LAP3,16
MAEA,28
MAT2A,1
MKLN1,28
MON2,224
MRPS10,41
MRPS2,1
MRPS23,1
MRPS31,1
MRPS35,1
MRPS9,1
MSI2,1
NDUFAF4,8
NDUFS3,8
NOLC1,1
NONO,1
NUDC,1
PGRMC2,152
PPIA,1
PPIG,1
PPT1,1
PRPS1,242
PTCD3,1
PTPLAD1,1
RALY,1
RANBP10,28
RMND5A,28
RMND5B,28
RRBP1,219
RRP1B,1
SLC35C1,28
SLC3A2,1
SPNS1,61
STT3A,392
TMEM43,269
UBE2H,9
UCK2,533
VWA8,28
WBP5,28
XPOT,206
YPEL5,28
ZC3HAV1,1
ZCCHC2,28
ZMYND19,28
AARSD1,16
PRKACA,46
THG1L,16
ACTR3B,16
ANP32B,16
CALR,50
CBWD3,65
MAPKAPK2,99
MKS1,1
POLA2,1
PRKD2,180
RBCK1,13
TRO,1
VPS13A,364
VPS13C,457
ARPP19,571
ARRDC3,71
ADRB3,71
AXL,2
BMPR1A,1
CD320,107
CSNK1G3,128
CUEDC1,12
FGFR3,395
HECW2,74
IKBIP,67
ITCH,9
ITGB4,12
MAP1B,125
NEDD4,9
NEDD4L,9
OTUB2,180
PTPRS,258
RNF149,163
STXBP4,307
TMEM200A,103
TNFRSF10B,13
TRAF7,9
TRIM42,71
USMG5,8
WWOX,1
WWP1,9
WWP2,1
ZNF593,237
ASAP2,528
PTK2B,2
RAB11FIP3,528
SH3KBP1,2
ASB1,1
CUL5,1
HMGB1,235
PFN1,1
RNF7,9
SNRPD1,1
SSR4,1
TRMT10C,1
ASB8,290
AMBRA1,10
IARS2,1
KIF26B,290
NPAT,290
RCN1,1
RUFY3,290
SERTAD1,24
SLC25A6,1
TMED10,210
TRIM11,9
ZC3H6,290
ASCC2,1
ASCC1,1
ASCC3,1
ASS1,1
CSRP1,1
CUTC,535
DEAF1,5
ELAC2,1
FBP1,557
FUNDC2,275
GADD45A,205
GNL3,1
GPC4,83
GTF3C1,1
IGSF9,1
IMMT,1
LPL,236
OLA1,1
PIN4,323
PJA1,166
POLDIP2,8
RADIL,74
SNRPB,1
TBC1D17,1
TRIP4,1
URM1,1
ASF1B,146
C15orf41,146
CABIN1,146
CDAN1,146
CHAF1A,7
CHAF1B,21
DYNLL1,60
H3F3A,1
HAT1,1
HIRA,146
HIST1H3C,146
HIST1H3E,1
HIST1H3F,146
HIST2H4A,1
HIST4H4,1
IDH1,93
IPO4,1
KHSRP,1
MCM4,1
MCM5,1
MMS22L,1
MRPS7,1
NASP,1
PAN2,1
PAN3,146
PPTC7,394
PSPH,483
RCVRN,146
RIF1,1
TLK1,374
TLK2,134
TONSL,1
UBN1,146
UBN2,146
ASH1L,20
ASPH,289
ACAD9,8
BNIP1,32
CCDC109B,289
ECSIT,8
EXD2,289
FAM162A,156
LEMD2,185
MCU,289
NDUFAF1,8
SMDT1,289
STEAP3,4
TMEM160,289
TMEM192,4
ASXL2,149
BAP1,149
FOXK2,11
HCFC1,11
KDM1B,149
MBD6,149
SLURP1,149
TUBA1C,1
ASZ1,71
ATE1,308
SUV39H1,21
ATF2,1
AHCY,1
AHSG,45
ALDOA,1
ANXA1,231
ANXA3,237
ATF4,482
ATP2A3,61
BACH1,48
BATF,546
C18orf25,1
C19orf10,1
CAP1,1
CCND1,5
CD44,18
CEBPA,11
CEBPB,5
COLGALT1,1
CTNND1,1
CYC1,1
DLD,1
DPP8,366
EIF5A,1
ENO1,1
ERP29,1
EXOSC8,1
FOSL1,44
GANAB,1
GLS,8
GLUD2,1
GSTP1,1
H2AFX,1
H2AFY,1
HADHA,1
HK1,1
HSPH1,1
IRF2BP1,221
ITGA2,406
ITGB1,1
JDP2,48
KIFC3,60
KRT7,1
KRT8,304
MAPK14,18
MAPK8,118
MAPK9,48
MARCKS,331
MDH2,1
MRE11A,1
NACA,1
NCOA6,5
NME2P1,552
OAT,1
PDIA4,1
PHB,1
PPIF,219
PTPN1,86
RAB2B,94
RAB7A,1
RABAC1,427
RAD18,1
RHOC,249
RTN3,97
S100A2,114
SFN,1
SFXN1,1
SHMT2,1
SLC25A12,1
SLC2A1,361
SMAD4,12
SQRDL,1
SRA1,366
SS18,23
SSX2,11
SUMO1,39
TACSTD2,1
TFRC,1
TIMM9,284
TMX1,1
TPI1,1
UBE2I,1
UTF1,1
VDAC3,1
WAC,218
ATF6,317
APOD,317
ATF6B,8
BPGM,317
DDC,317
NNMT,317
PARG,317
RFWD2,36
SH3TC1,317
SP1,5
SREBF2,5
SRF,317
STK40,1
XBP1,1
CCDC155,212
MBD3,11
MITD1,75
OCIAD1,8
TAF12,24
TAF4,24
TAOK3,508
TMEM239,130
URI1,17
ATF7IP,365
BRLF1,365
ERCC2,1
ERCC3,1
GTF2E1,1
GTF2E2,1
GTF2IRD1,21
IGHG2,45
MBD1,5
ATG10,125
ATG12,125
ATG3,125
ATG4B,125
ATG7,125
KRT85,125
USP11,1
Atg10,125
ATG16L1,125
Atg3,125
ATG5,125
BCL2,61
DHX36,1
GABARAP,405
KRTAP4-12,42
OTUD4,304
SF3B1,1
TECPR1,125
ATG14,232
BECN1,18
CETN2,1
DACT1,232
EXOC1,25
LRRC58,442
MAP4K4,371
MTFR1,374
NRBF2,232
PCM1,6
PDLIM5,1
PIK3C3,232
PIK3R4,232
RAD50,1
USP18,13
ATG2B,46
USP15,10
WDR45,75
BAG3,41
CFLAR,13
CLU,1
DFFA,7
EFR3A,128
GABARAPL1,137
GABARAPL2,137
HSPA9,1
MAP1LC3B,137
MAP1LC3B2,266
MAP1S,339
NANS,1
NHLRC2,343
TNFAIP8,140
ATG4A,473
ATG101,1
CLK2,1
FADD,13
OPTN,114
SIRT1,1
SQSTM1,83
TEKT4,104
WDFY3,125
ATIC,1
ALDH16A1,1
ASB6,17
CMBL,1
IPO5,1
ISOC1,7
MSN,1
NAE1,1
NSFL1C,1
OXCT1,93
PROSC,1
RBBP6,1
TRNT1,1
ATL2,4
ACRBP,4
ADD1,3
ATL3,1
BCL7B,23
CSNK1G2,128
DENND1A,15
FAM120A,1
LSM11,1
NELFA,122
NNT,6
RPP38,471
SNRNP27,1
STK39,1
ATP11A,81
TMEM30A,163
ATP11B,278
IFNA21,278
ATP1B1,8
ACAA2,1
ACAT1,1
ATP5L,1
CPT2,8
CRIP2,261
CTSD,1
DLAT,1
EIF4H,1
FXYD1,427
HSD17B12,1
MTCH2,8
NDRG2,212
NDUFA12,8
NDUFA2,8
NDUFS1,8
NDUFV1,8
PSME1,10
RPS19,1
UQCRQ,8
NDUFS4,8
PLN,52
ATP2B4,4
ATP5J,8
CASK,6
Dlg1,4
Dlg2,4
DLG2,268
Dlg4,83
RASSF1,18
ATP6AP2,120
ATP6V0A1,120
ATP6V0A2,120
ATP6V0C,120
ATP6V0D1,1
ATP6V0D2,120
ATP6V1E1,8
ATP6V1F,1
ATP6V1G1,179
BEGAIN,120
CCDC115,120
CD2AP,116
CD59,388
CERS2,4
CHMP2A,75
CHMP2B,335
CLCN7,273
CREB3,397
DTYMK,120
ESYT2,56
ETFB,46
FLOT1,3
FLOT2,385
GLB1,109
GOSR1,32
IST1,75
JPH1,185
KIAA2013,120
KIDINS220,1
KTN1,55
LAMTOR1,211
LAMTOR2,211
LAMTOR5,406
LGALS1,200
MECR,120
OSTM1,319
PHLDB2,15
PICK1,81
PON2,438
PPP1R13L,5
PRKCDBP,1
PTRF,20
RAB11FIP2,15
RABL3,155
RALA,380
RAP1B,339
REN,120
RHOG,258
SCFD1,32
SEC22B,32
SLC35F6,155
SLC38A2,4
TCIRG1,120
TMEM199,120
TOP3B,186
URB2,72
VMA21,120
WDR75,436
ZBTB11,1
ATP6V0E1,120
ACP2,120
PIGG,120
PTPRF,156
REEP5,95
SLC7A2,120
COG2,376
COG8,376
COX4I1,8
EEF1E1,1
MCMBP,125
MTPN,6
TIPRL,1
VCL,1
ZNF706,39
ABCF3,1
CSDE1,1
GMPPB,156
HYOU1,1
IARS,1
MSH6,1
RQCD1,53
SUPT5H,1
SWAP70,1
TCF4,27
TMOD2,3
WDR5,89
YIF1B,155
ZBED1,1
DNM1L,1
GSPT1,1
GTF2A1,24
IDE,197
IVNS1ABP,1
PAWR,127
PSMG3,10
RDX,1
SHMT1,1
STAT1,127
TSN,1
VPS29,136
ATP8A1,163
ATPAF1,129
ATXN1,44
ACACA,1
ACOT7,44
ADD3,44
AHDC1,21
ANP32A,1
APBB1,1
ARHGAP32,2
ARID5A,489
ASNS,1
ATF5,338
ATP1A3,72
ATXN1L,44
ATXN2,1
ATXN2L,1
BAALC,188
BATF2,130
BEND2,44
BTG3,53
C1orf94,35
C2orf27B,44
CAMK2B,523
CCNK,1
CDIP1,44
CDK6,18
CHRNA7,44
CIC,446
CIRBP,1
CLASRP,44
CLCN2,56
CLEC4F,44
COIL,44
CPSF7,1
CREM,525
CRY2,1
CST3,44
DAZAP2,130
DHRSX,44
DHX37,104
DIXDC1,51
DNAJA3,1
DOCK5,394
DZIP3,9
EHMT1,21
EIF1AY,44
EIF1B,1
EIF3F,1
EIF4ENIF1,22
ELP5,44
ENTPD6,65
ESRP1,44
ESRRA,5
ETV4,44
FAM21C,3
FAM46A,288
FAM46B,489
FAR1,44
FAT4,44
FHL2,12
FUBP3,1
GATAD1,11
GCA,465
GCFC2,1
GMEB2,44
GPATCH8,1
HEY2,11
HEYL,12
HIVEP1,267
HNRNPLL,260
HPCAL1,352
HSFX1,44
HYPM,51
IGF2R,1
IL34,44
ILVBL,25
KAT6A,240
KCNAB2,1
KCTD15,90
KIAA1549L,44
KIAA2026,92
KIF22,1
KLF11,21
KLHL8,547
LASP1,113
LDB1,138
LITAF,445
LOC401442,44
LOXL1,44
LPAR2,104
MAGEB18,503
MAGEB2,1
MAGEB6,156
MATN2,44
MED15,17
METTL17,44
MSMO1,379
MSX2,480
MTERF4,44
NCAM1,331
NCOR1,5
NLK,498
NPHP3,395
NR4A1,444
NUDT21,1
NUMBL,491
NUTM2B,44
OAZ1,463
OPCML,273
OTX2,51
PEPD,343
PHPT1,44
PIAS1,174
PIM2,535
PLEKHB1,51
PPAT,1
PQBP1,3
PRDM1,221
PRR20A,281
PRRC2A,1
PRRC2B,44
PSMC3,10
PTGDS,59
QKI,17
QRICH1,243
R3HDM1,445
R3HDM2,44
RAD54L2,44
RAPGEF4,327
RHOXF2,480
RNF31,1
SEMA4G,111
SETD2,1
SGMS1,168
SIX5,345
SLC25A51,44
SLC4A2,303
SLC51A,107
SLC6A13,44
SPEN,5
SREBF1,17
ST6GALNAC6,44
STAC2,44
SUGP2,44
SUPT20H,24
SV2A,110
SYBU,141
TBC1D5,220
TBX15,44
TCAP,413
TCEANC,134
TCTA,44
TDP2,39
TMX2,98
TOLLIP,138
TOMM20,382
TOX4,66
TP53I11,44
TRIM38,9
TTC19,326
U2AF2,1
UBE2E1,9
UHRF1BP1L,134
UHRF2,1
UNK,1
USP54,44
VSNL1,44
VSTM2L,44
WBSCR16,38
WNK2,512
YY1AP1,44
ZBTB32,242
ZC3H7B,44
ZCCHC13,122
ZHX1,261
ZHX2,261
ZHX3,261
ZNF276,44
ZNF488,300
ZNF804A,559
ZSCAN1,85
ZSWIM8,44
ZXDC,433
ATXN10,1
ABCA1,73
CDK12,1
FN1,1
MED14,17
MRPS16,38
ADORA1,44
AES,49
AFAP1L2,70
ALG13,240
CAMSAP2,15
CBFA2T2,27
CHD6,138
CTBP2,5
EPB41L2,37
EPB41L3,37
FADS2,44
GAS7,67
NBR1,202
NCOR2,5
NIT1,129
RRAGC,211
SCAF11,1
THY1,219
TMEM25,65
TMEM8B,44
TRIP11,294
ACOT9,1
ALG1,158
ASIC1,176
BCL7C,23
C16orf70,390
C8orf82,158
CAPN1,1
CAPN2,1
CISD2,158
Cntfr,158
COA7,157
DYNC1H1,1
ELA1,158
ELC1,158
FAM184B,158
FOXO4,12
GCAT,158
GNPAT,94
HAP1,359
HSD17B11,98
HSDL2,6
HSPA4L,1
IDH3B,6
KAT2B,5
LPCAT1,121
MALT1,13
MARCH5,389
MDC1,1
MGME1,377
MTHFD2,348
NDUFA4,8
NDUFA8,8
NDUFAF2,323
PSMC5,10
PSRC1,315
RAB21,94
RAD23A,10
RAD23B,1
RDH13,158
RMDN1,379
RSF1,494
SDC2,133
SFXN4,241
SLC27A4,457
TECR,1
TEX11,464
TIMM23,443
TMCO1,1
Tuba1a,158
Tubb2b,158
Tubb4b,329
UBE2S,1
ATXN7,24
ACTN2,291
ADAM33,279
AGRN,24
ATXN7L3,24
CCDC101,24
CEP72,6
COG6,277
CRIM1,24
CRX,5
EFEMP1,193
ENY2,24
FBN1,526
GCN5,24
GOLGA3,111
HHT1,20
HHT2,24
HTB1,24
JAG2,84
KALRN,153
LAMB1,207
LAMB2,264
LTBP4,338
MEGF6,24
MEGF8,24
NELL1,344
NELL2,193
NOC2L,1
PNMA1,35
PPP1R12C,35
PSMC1,10
PSMC6,10
PSMD2,10
PSMD7,10
SPRY1,2
SUPT3H,24
TADA2A,17
TAF10,24
TAF9,24
TBP,24
TP53BP2,7
TRIM23,100
TRIM54,9
TXNDC11,291
UBQLN2,10
VWF,194
ATXN7L1,281
ATXN7L2,24
HIST2H2AC,1
HIST2H2BE,1
SECISBP2,24
SUPT7L,24
TADA1,24
TADA2B,24
TAF6L,24
TAF9B,24
USP27X,24
USP6,43
AATF,1
ANGPTL4,358
ATAD3B,1
AUNIP,198
BEX2,145
BIRC5,13
BLID,86
C14orf178,1
CALCOCO1,230
CDH13,4
CDKN2A,18
CENPK,1
CEP131,6
CEP55,6
CHFR,9
COPA,1
COPRS,1
COPS4,36
CSN2,138
CTCFL,51
CTPS1,1
DGCR14,1
EEF1A2,1
ELOF1,325
EMC1,55
EPS15L1,1
EPSTI1,149
ERRFI1,86
EZR,1
FANCA,1
FBN2,31
FOXF1,1
FOXP1,144
FTH1,187
FTL,1
GAPVD1,1
GMNN,360
GTF3C2,133
GTF3C4,1
HARS2,106
HDAC6,1
HMMR,302
HNRNPA1,1
HSPA2,1
IFI16,1
IGF2BP3,1
IKBKB,13
IKBKG,13
INCENP,74
IRS4,1
ITPKC,1
KIF16B,115
KIF2C,322
KLF4,5
KLHL18,36
KLK5,1
LARP1,1
LIG1,1
LIMD1,251
LRPPRC,1
LYPD3,4
LYZ,1
MAPK6,64
MATR3,1
MED16,17
MED26,17
MFAP4,2
MRPL24,38
MRPL28,38
MRPS22,1
MTA3,11
MTMR4,511
MYCN,20
MYT1,11
MYT1L,153
NDC80,299
NFKB1,5
NFXL1,222
NIN,6
NKX1-1,1
NME1,1
NUF2,20
OSBPL3,334
OSBPL6,15
PAX4,1
PEAK1,2
PFKM,1
PLK1,1
PMF1,21
POU4F3,1
PRRC2C,1
PSMC3IP,149
PUM2,1
RAPGEF6,292
REL,35
REST,370
RPIA,247
RPL22,1
RPL30,1
RPLP2,1
RPS10,1
RPS7P4,1
S100A14,74
SCGB3A1,59
SEC61G,397
SIN3B,11
SIRT7,1
SMC2,1
SNX9,11
SOD2,1
SORL1,276
SOX18,1
SRFBP1,1
SSRP1,1
STAT2,127
STK11,18
SWT1,1
TACC1,249
TARS,1
TBX10,1
TCEAL2,26
TCEAL4,155
TCOF1,1
TEAD2,18
TFAP2B,214
THRSP,86
TNKS1BP1,53
TPX2,13
tpx2-a,1
TUBG1,1
UBA1,1
UBTF,1
UQCC2,540
USP2,9
USP47,234
WAPAL,132
WDR35,271
WDR62,7
WIF1,86
ZKSCAN2,1
ZMYM1,461
ZNF598,1
AURKC,105
C12orf43,319
CDK5,1
CENPA,1
DHX38,1
MYH1,232
MYH4,183
MYH8,183
TACC2,5
TUBB8,65
USP19,1
AZIN1,463
KLC1,7
KLC4,7
MSRB3,463
OAZ2,463
OAZ3,463
B2M,50
CDCA2,1
CRYAB,13
DLGAP5,1
FCGRT,151
HFE,50
KPNA3,1
NUSAP1,283
RANGRF,349
RGPD2,50
TAP1,50
TAPBP,50
TMEM194A,517
TPST1,185
B3GNT2,65
ADAMTS2,65
C1GALT1C1,65
CDK3,1
FAM3A,279
FAM3C,320
FKRP,266
GALNT7,173
ITGA7,196
ITGAV,162
LDLR,106
MOXD1,65
NDUFA10,8
PAM,65
PCDH20,274
TMEM246,98
TMTC3,4
TOR1AIP2,201
TOR3A,65
B4GALT1,151
LALBA,151
B4GALT6,333
MAN2A2,333
ASAP3,528
BARD1,1
BRCA2,76
CREBZF,482
KIAA1429,48
MAFF,48
MAFG,48
MAFK,48
NBN,1
NFE2L2,48
NME8,100
PABPN1,1
PATZ1,270
PLRG1,1
POTEKP,132
PPHLN1,382
TAF4B,24
TBC1D10A,48
TMEM208,95
XRCC6BP1,104
ZNF131,22
BACH2,48
BCL6,11
BAG2,1
DNAJB6,1
DNAJC6,11
MLF2,213
PPIH,13
SLU7,1
STXBP2,1
TAB1,13
WDR83,6
AAMDC,126
ABAT,1
ADI1,41
AIF1L,41
AIMP2,1
AK2,41
AKR1C4,41
AKR7A3,41
ALDH3B1,266
ALDOC,1
AMOT,7
ANKRD39,90
ANKS1A,7
ANXA10,41
APOPT1,41
ASL,41
BAX,61
BCL2L11,61
BCLAF1,1
BDKRB2,41
BEAN1,41
BID,61
BMF,61
C14orf166,1
C1QTNF7,41
C21orf59,532
C4orf22,41
CA3,41
CAMK1D,137
CASP3,13
CCDC186,351
CCDC88C,302
CD40,13
CDCA3,167
CDK17,296
CDK5RAP1,41
CKAP5,1
CLCN5,41
CLK1,1
CMTM1,41
CNST,70
CNTN4,41
COASY,453
COPZ1,1
CPNE1,477
CRACR2B,41
Cryab,41
CSTB,1
CTSA,343
DBNL,16
DBR1,219
DDI2,157
DHX8,1
DNAJB3,41
DNAJB4,212
DOCK8,79
DOHH,487
DOK4,20
DPCD,41
DPH2,284
DPP10,41
DUSP23,290
ECE2,326
ECI2,8
EFCAB2,41
EIF4A2,1
EIF4EBP2,113
ENOPH1,306
EXOSC1,291
FAM107B,586
FAM111B,41
FAM118A,174
FAM168A,454
FAM84A,41
FKBP1A,93
FLCN,405
FMR1,1
FOSB,41
FUZ,384
G6PD,7
GDI2,1
GFRA1,41
GH1,41
GLRX2,93
GMDS,1
GNAO1,152
GPKOW,535
GPR119,41
GSKIP,98
GSTA1,191
GSTA3,41
GSTA4,559
GSTM3,299
GSTM4,41
GSTO1,96
GSTZ1,41
HAAO,70
HAGH,203
HBG1,51
HERC4,1
HNRNPUL1,1
HSPA1L,1
Hspa8,82
HSPB6,473
HSPB8,243
IGKC,45
IGLV3-21,41
IL36B,41
INIP,165
ISG15,1
JRK,41
KRT79,2
LAPTM5,138
LIFR,2
LPAR4,394
LRBA,449
LSM5,139
LSP1,3
LYZL4,41
MACROD1,140
MAP4,1
MAPK11,190
MAPK7,7
MAT2B,1
MDP1,41
MED1,17
METTL21A,428
MIA,41
MUM1,166
MVP,1
MYBPH,461
MYH6,267
NANP,41
NAP1L1,1
NAP1L5,195
NDP,41
NDUFB4,8
NEK9,1
NETO1,41
NFKBIB,13
NQO1,222
NR2C2AP,41
NT5C3A,199
NUBP2,1
NUP93,1
OR10G3,41
OR2T35,41
OR5T1,41
OR8D4,41
OR8H2,41
OSMR,41
OVOL2,41
PAFAH1B2,1
PAIP2,1
PANX1,41
PARP1,1
PBLD,112
PCDHGB2,41
PCP2,41
PDGFC,41
PDLIM3,69
PDLIM7,3
PEBP1,87
PEF1,130
PGK1,1
PGM2,70
PGM3,306
PHLDB1,41
PIGV,41
PLA2G6,90
PLXNA3,1
POLR2H,17
PPA2,129
PRKAG3,49
PRPS2,242
PRRG2,41
PSAP,1
PSMD5,10
PSMD8,10
PSMD9,20
PSME2,10
PSMG1,10
PTPN2,10
PVRL3,289
PYCR1,1
RAB4A,558
RAPSN,547
RASIP1,19
RASL11B,41
RPS12,1
RPSA,1
RTFDC1,9
S100A1,248
S100A8,1
S100B,410
S100G,41
S100P,283
SAE1,16
SCAMP3,361
SDC1,128
SF3B2,1
SH3YL1,455
SHFM1,10
SLC35E3,41
SLC7A1,169
SNN,41
SOAT2,182
SORBS3,265
SPAG16,354
SPIN1,1
SRP19,1
SSBP2,41
ST13,477
ST6GALNAC4,41
STARD7,487
STK16,27
TAGLN,87
TET3,228
TIMM10,284
TIMP2,162
TMEM126A,429
TMEM174,41
TMEM207,41
TMEM252,41
TMEM92,167
TMIGD2,41
TMSB10,377
TNK2,2
TPD52,1
TPT1,1
TRAPPC2L,109
TRIAP1,270
TRIM69,141
TSTA3,1
TWF2,3
UBE2Z,9
UBXN6,1
UGDH,72
UNC5CL,491
UROD,375
USF1,5
WBP2,138
WBSCR28,41
WIPF1,2
XPNPEP3,197
YKT6,87
ZBTB3,247
ZCCHC14,90
ZMPSTE24,269
ZNF3,181
ZNF426,231
ZNF428,21
ZNF655,35
ZSCAN20,85
BAG5,212
BANP,281
DLG5,6
FAM118B,96
GAK,3
SNCA,1
ASXL1,11
ASXL3,149
EFNA2,496
EIF4EBP3,149
ELF2,242
HCFC2,89
HIST2H2AA3,150
KLF5,12
L3MBTL2,22
LINC00598,149
MCRS1,23
Ogt,149
PPM1G,1
PRDM10,133
PSMD11,10
ZC3H13,17
AKAP8,1
AKIP1,1
ASH2L,89
AURKB,1
BCCIP,1
BEND3,252
BRCC3,76
BRD7,23
BRIP1,1
CASC1,390
CCAR1,1
CCDC88A,172
CDK13,1
CDKN2AIP,1
CHD3,1
COL1A1,207
COMMD1,136
CPSF2,1
