symbol,community
EIF4G2,1
EP400,20
ETF1,1
FEN1,147
FLII,3
HDGFRP2,55
HDLBP,1
HINT1,93
KAT2A,24
KAT5,1
LEO1,1
MAP2K2,1
MAX,20
METAP2,1
MRPL22,38
MRPS11,1
MTDH,1
MYCL,20
PDCL,30
RAB14,1
RAB1B,1
RAP1BL,23
RIC8B,30
RPRD1B,16
RUVBL1,1
RUVBL2,1
SF1,1
SF3A1,1
SMARCA2,23
SMARCA4,23
SMARCC1,23
SMARCC2,23
SMARCE1,23
SNAPC1,1
TBL1XR1,5
TCP1,1
TRRAP,24
TSFM,164
UBA2,1
UCHL5,10
USO1,32
VPS72,20
YY1,23
ACTR1A,68
ACTR10,68
DCTN1,6
DCTN2,68
DCTN5,68
LMNB1,1
MYCBP,1
MYH9,3
NUMA1,1
NUP133,1
PACSIN3,3
POLR2D,17
PSMC4,10
PSMD1,10
RRS1,1
ACTR1B,68
CAPZB,3
DCTN3,68
DCTN4,68
DCTN6,68
GSN,3
KDM2A,12
PDCL3,1
RABEP1,20
SCCPDH,392
SCIN,3
SCYL1,1
SEH1L,1
ACTR2,16
ACTR3,16
ALAD,16
ARPC1A,16
ARPC1B,16
ARPC2,16
ARPC3,16
ARPC4,16
ARPC4-TTLL3,16
ARPC5,16
ARPC5L,16
BASP1,3
CALU,16
CAPZA2,3
CCT5,1
CCT8,1
CFL1,1
CHURC1,16
CLTA,3
CLTB,3
COBL,3
CORO1B,3
CORO1C,3
CRTAP,16
CYBRD1,11
DAB2,3
DBN1,3
DSG2,3
ELF5,23
FAM98B,1
FUBP1,16
GPRC5A,1
GRPEL1,1
HIST1H2AB,1
HSPBP1,16
INF2,3
ITPR3,3
KIAA1279,16
LIMA1,3
METTL1,16
METTL3,12
MISP,3
MYO6,3
NIF3L1,16
NSUN2,16
OGT,16
PANK4,16
PPME1,16
PPP1R12A,3
PRKACB,46
RANGAP1,16
RBM27,1
RPA1,1
RPRD1A,20
SH3GL1,16
SH3GLB1,16
SPECC1,3
SRP9,348
SURF2,16
SVIL,3
TOM1L1,16
TP53RK,16
TPD52L2,16
TPRKB,16
UBE2N,1
UFM1,1
WDR4,16
ZPR1,16
ARHGAP17,2
COG3,275
CST1,45
CST4,45
STXBP1,16
UGGT1,200
ACVR2A,184
ACVR1,12
BMP10,184
BMP4,1
BMP6,184
BMPR2,184
DAXX,39
GDF2,184
GDF5,184
IGSF1,184
INHA,184
INHBA,184
INHBB,184
MAGI2,71
NODAL,184
PEG10,430
PRSS50,184
SYNJ2BP,206
TDGF1,28
ADAM10,496
DLG1,268
LCK,2
MAD2L1,1
MSRB2,496
OR4S2,496
TSPAN5,4
ADAM17,545
LRRC3,196
MAPK1,99
SDK2,545
TNFRSF1A,13
TNFRSF1B,13
ADAR,1
BTRC,7
TGM2,7
UPF1,1
XPO1,1
ADCY7,424
BUD31,1
PLSCR1,424
ADIPOR1,4
APPL1,2
DPH3,308
FAM45A,136
NAA20,562
NFKBIL1,37
WFS1,317
ADIPOR2,2
RNF181,355
ADNP,21
CDC27,47
EBNA1BP2,1
NFIA,1
PHGDH,1
SAP18,1
SEPT2,1
ADPRM,1
FH,1
GTF2H4,1
PHF5A,1
ADRB1,71
ARRB1,1
ARRB2,1
GIPC1,19
GPRASP1,71
GPRASP2,409
ADSS,1
ADSL,1
ADSSL1,463
AGL,1
ARFIP1,1
ATP6V1H,1
C6orf211,103
CDC37,1
DNAJA2,1
DSTN,1
EEF2,1
EIF4A3,1
FDPS,179
GART,1
GMPS,1
GNPNAT1,203
GSPT2,1
HIST1H3A,1
HLA-A,50
HSD17B10,34
HSPA1A,1
HSPB1,1
IMPA2,1
KYNU,1
NME1-NME2,1
PCBD1,361
PDIA3,1
PFKL,1
PPP1CA,1
PRDX5,1
PTMS,93
RAB11A,7
RBBP7,11
RNH1,1
RPL17,1
RPL31,1
RPS11,1
RPS15A,1
RPS16,1
RPS28,1
RPS8,1
SGTA,1
SMYD1,427
TANGO2,156
TARDBP,1
THRAP3,1
UMPS,259
UQCRFS1,8
WDR1,3
AEBP2,45
ATXN3,158
EED,1
EZH1,142
EZH2,1
JARID2,142
JMJD6,1
KBTBD7,1
LACRT,45
LGALS7,1
LGALS7B,66
LTF,45
PIGR,45
PIP,231
RALYL,497
RBBP4,1
RPL39,213
S100A7,70
SCGB2A1,21
SUZ12,1
THAP1,227
AFF1,37
AFF4,37
BRD4,1
CCNT1,37
CDK9,1
DDX6,1
DOT1L,1
ELL2,37
HEXIM1,1
HIST3H3,24
KMT2A,37
LARP7,1
MLLT1,37
MLLT10,37
MLLT3,37
NPM1,1
NT5E,4
PCSK1,37
POLR2A,17
RELA,5
SIAH1,122
SIAH2,9
CCNT2,37
EAF1,37
EAF2,37
ELL,37
ELL3,37
PBX2,92
AGFG1,16
GPN1,1
IPO11,16
NYAP2,16
POLE2,401
AGO1,1
AGO2,238
AIP,1
C2orf44,128
CNOT7,53
CYLD,1
DCAF10,36
DICER1,1
DNAJB11,1
FKBP5,105
IPO8,367
KHDRBS1,2
OTUD7B,1
PABPC1,1
PASK,378
PPP6R1,79
TARBP2,1
TAX1BP1,1
TCF25,250
TNRC6A,53
TNRC6B,6
TNRC6C,53
AGO3,1
BIRC6,13
C6orf48,238
CBWD2,223
CEP170,6
CNOT1,53
CNOT2,53
CNOT6,53
CNOT6L,53
CNOT8,53
CPS1,1
CRBN,1
CTR9,37
DCAF7,22
DDX20,1
DHX9,1
EIF4EBP1,105
ELAVL1,14
FOLR1,238
gag,1
GEMIN4,1
H19,238
HOTAIR,519
IGBP1,1
IQSEC1,1
KLHL29,322
LIG4,1
LRRK2,1
MALAT1,238
MCL1,61
MIR125B2,238
MIR19A,1
MIR21,1
MIR221,1
MIR579,238
MIRLET7B,1
MIRLET7I,1
MLLT11,238
MSI1,238
NDUFS2,8
P4HB,1
PAF1,150
PCBP2,1
PFKP,1
PRKAR1A,46
RBM4,1
RNF219,238
RPL27A,1
RPS20,1
S100A11,249
SKP2,442
TMEFF2,238
TMEM64,238
TNF,1
TRMT1,1
AGO4,1
AGK,170
ARF4,1
ATP5I,8
DBT,1
DNAJA1,1
EIF4B,1
GALK1,304
HNRNPC,1
HSP90AB1,1
HSPA5,1
IGF2BP1,1
LOC390937,1
OTUD4P1,1
PABPC4,1
PGAM5,1
PRMT5,1
PTS,1
RPL11,1
RPL12P1,1
RPL23,1
RPL24,1
RPL27,1
RPL35,1
RPL38,1
RPS10P5,140
RPS18,1
RPS26,1
RPS5,1
RPS9,1
SLC25A1,1
SLC25A10,1
SLC25A13,1
SLC25A22,1
SLC25A3,1
SLC25A5,1
SNRPD2P1,7
SSBP1,1
TRIM21,280
TUBB4B,1
TUFM,1
WDR77,1
YBX1,1
AGPAT1,269
RNASEH2A,339
AGPAT3,4
GPR89A,185
METTL9,4
NCLN,4
NOMO1,4
SERINC1,4
TMEM120A,4
TMEM120B,4
AHCYL1,1
ATP6V1B2,1
C11orf58,1
GINS4,1
KIAA1598,1
PDCD6IP,71
PPP2CA,19
PSAT1,1
PSMD12,10
RPL37A,1
SEC24A,1
SEC24C,1
SEPHS1,396
SERPINH1,1
SH3BGRL3,32
SIN3A,11
SKP1,80
SNCG,70
SNRPA,1
SNX12,87
SNX3,87
SOD1,1
SOX30,1
SP100,39
SPR,1
SRSF1,1
SRXN1,1
STAM,71
STAT6,286
STMN1,1
STMN2,1
SUGT1,216
SULT1A1,1
SUMO2,1
TACC3,1
TAGLN2,1
TBCA,399
TES,1
THADA,25
TKT,1
TLE3,183
TMOD3,3
TOM1L2,311
TPM1,3
TPM2,1
TPM3P4,1
TRIP6,104
TTC1,1
TTC9C,1
TTLL12,16
TUBB6,1
TXN,1
TYMS,1
UBA52,1
UBA6,1
UBE2B,1
UBE2C,1
UBE2D1,9
UBE2L3,9
UBE2V1,13
UBE4B,9
UBL7,1
UBQLN1,56
UBQLN4,1
UBXN1,1
UCHL3,1
UFC1,1
USP34,1
USP9X,1
VPS26A,157
VPS4B,75
ZFYVE19,75
ZRANB2,1
ZYX,1
AHNAK,1
ACTN4,3
ARHGDIA,43
FLNB,3
FMNL1,1
HNRNPAB,1
HNRNPD,1
HNRNPDL,1
NOL9,1
PSME3,10
VARS,1
YARS,1
AK3,158
DAPK3,3
HNRNPUL2,1
IBA57,158
RPS14,1
AK4,375
CEP19,1
EPHA8,2
KEAP1,48
WDR45B,375
AKAP10,275
IKZF3,35
PRKAR2B,46
AKAP11,46
GSK3B,78
PPP1CB,3
PPP1CC,3
PRKAR2A,46
AKAP13,46
ESR1,1
GNA12,385
GNAQ,30
MAP1LC3A,137
MTR,16
PPARA,5
Prkca,91
PRKCA,13
Prkch,46
PRKCH,48
PRKD1,36
RHOA,43
RXRB,5
THRA,5
UBB,130
AKT1S1,1
CBY1,15
FAM114A1,515
RPTOR,1
AKT2,105
APOA1,382
APOB,1
CCL14,105
CHUK,13
CLIP3,105
FAT3,136
GGA1,62
GNB1,30
MAP3K5,18
