VMT_0001	EBV	ebv-miR-bhrf1-2
VMT_0002	KSHV	kshv-miR-k12-11
VMT_0003	EBV	ebv-miR-bart19-3p
VMT_0004	EBV	ebv-miR-bart13
VMT_0005	KSHV	kshv-miR-k12-9
VMT_0006	EBV	ebv-miR-bart7
VMT_0007	EBV	ebv-miR-bart19-3p
VMT_0008	KSHV	kshv-miR-k12-1
VMT_0009	KSHV	kshv-miR-k12-3-3p
VMT_0010	KSHV	kshv-miR-k12-6-3p
VMT_0011	KSHV	kshv-miR-k12-11
VMT_0012	KSHV	kshv-miR-k12-7
VMT_0013	EBV	ebv-miR-bart4
VMT_0014	KSHV	kshv-miR-k12-4-3p
VMT_0015	EBV	ebv-miR-bart20-3p
VMT_0016	EBV	ebv-miR-bart22
VMT_0017	EBV	ebv-miR-bart3
VMT_0018	KSHV	kshv-miR-k12-11
VMT_0019	EBV	ebv-miR-bart19-3p
VMT_0020	KSHV	kshv-miR-k12-3
VMT_0021	KSHV	kshv-miR-k12-6-5p
VMT_0022	KSHV	kshv-miR-k12-6-3p
VMT_0023	EBV	ebv-miR-bart7
VMT_0024	EBV	ebv-miR-bart6-3p
VMT_0025	KSHV	kshv-miR-k12-1*
VMT_0026	EBV	ebv-miR-bart20-3p
VMT_0027	KSHV	kshv-miR-k12-6-3p
VMT_0028	EBV	ebv-miR-bart9
VMT_0029	KSHV	kshv-miR-k12-1
VMT_0030	EBV	ebv-miR-bart18-5p
VMT_0031	EBV	ebv-miR-bart3
VMT_0032	KSHV	kshv-miR-k12-1*
VMT_0033	EBV	ebv-miR-bart1-3p
VMT_0034	EBV	ebv-miR-bart14
VMT_0035	KSHV	kshv-miR-k12-6-5p
VMT_0036	EBV	ebv-miR-bart9
VMT_0037	EBV	ebv-miR-bart1-3p
VMT_0038	KSHV	kshv-miR-k12-12*
VMT_0039	EBV	ebv-miR-bart8*
VMT_0040	EBV	ebv-miR-bart4
VMT_0041	EBV	ebv-miR-bart10
