AAGAB,AP1G1
AAGAB,AP1G2
AAGAB,AP1S2
AAGAB,AP1S3
AAGAB,AP2A1
AAGAB,AP2A2
AAGAB,AP2S1
AAGAB,ASAH1
AAGAB,C15orf57
AAGAB,EDRF1
AAGAB,EIF3C
AAGAB,STX4
AAGAB,STXBP3
AAK1,AP2A1
AAK1,AP2B1
AAK1,AP2M1
AAK1,APP
AAK1,DVL3
AAK1,LUZP1
AAK1,PLEC
AAK1,PPIP5K2
AAK1,QSER1
AAK1,SEC24B
AAK1,UBE2D2
AAK1,URGCP
AAK1,WNK1
AASDHPPT,EHD1
AASDHPPT,EHD4
AASDHPPT,HNRNPH1
AASDHPPT,NOL3
AASDHPPT,PLCG1
AASDHPPT,POTEI
AASDHPPT,STIL
AASDHPPT,TRAPPC4
AASDHPPT,USP22
AASDHPPT,ZC3HC1
ABCB6,TOMM40
ABCB7,APP
ABCB7,ATP6V1D
ABCB7,AURKA
ABCB7,EPRS
ABCB7,FECH
ABCB7,HSCB
ABCB7,LONP1
ABCB7,MBTPS2
ABCB7,MED23
ABCB7,MINOS1
ABCB7,MRPL10
ABCB7,MTCH1
ABCB7,NDUFB6
ABCB7,NUBP1
ABCB7,ORAOV1
ABCB7,PDCD6
ABCB7,PITRM1
ABCB7,RPN1
ABCB7,TAF2
ABCB7,UQCRC1
ABHD10,APP
ABI1,ABI2
ABI1,ABL1
ABI1,BAIAP2
ABI1,BRK1
ABI1,CBL
ABI1,CDC123
ABI1,CTTN
ABI1,CYFIP1
ABI1,CYFIP2
ABI1,ENAH
ABI1,EPS8
ABI1,HOMER3
ABI1,KIAA1522
ABI1,MBP
ABI1,MKI67
ABI1,NCK1
ABI1,NCK2
ABI1,NCKAP1
ABI1,NCKAP1L
ABI1,NHS
ABI1,NHSL1
ABI1,NXN
ABI1,PIK3R1
ABI1,PPP2R1A
ABI1,RAPH1
ABI1,RBM14
ABI1,SF3A3
ABI1,SRRM1
ABI1,SSB
ABI1,THOC6
ABI1,WASF1
ABI1,WASF2
ABI1,WASL
ABI2,ABI1
ABI2,ABL1
ABI2,ABL2
ABI2,APPL2
ABI2,ARMC7
ABI2,BLOC1S6
ABI2,BRK1
ABI2,CASKIN2
